BPL,BORN_US,Source
Alabama,T,ACS
Alaska,T,ACS
Arizona,T,ACS
Arkansas,T,ACS
California,T,ACS
Colorado,T,ACS
Connecticut,T,ACS
Delaware,T,ACS
District of Columbia,T,ACS
Florida,T,ACS
Georgia,T,ACS
Guam,T,"ACS,CPS"
Hawaii,T,ACS
Idaho,T,ACS
Illinois,T,ACS
Indiana,T,ACS
Iowa,T,ACS
Kansas,T,ACS
Kentucky,T,ACS
Louisiana,T,ACS
Maine,T,ACS
Maryland,T,ACS
Massachusetts,T,ACS
Michigan,T,ACS
Minnesota,T,ACS
Mississippi,T,ACS
Missouri,T,ACS
Montana,T,ACS
Native American,T,ACS
Nebraska,T,ACS
Nevada,T,ACS
New Hampshire,T,ACS
New Jersey,T,ACS
New Mexico,T,ACS
New York,T,ACS
North Carolina,T,ACS
North Dakota,T,ACS
Ohio,T,ACS
Oklahoma,T,ACS
Oregon,T,ACS
Pennsylvania,T,ACS
Puerto Rico,T,"ACS,CPS"
Rhode Island,T,ACS
South Carolina,T,ACS
South Dakota,T,ACS
Tennessee,T,ACS
Texas,T,ACS
U.S. Virgin Islands,T,"ACS,CPS"
"United States, ns",T,ACS
Utah,T,ACS
Vermont,T,ACS
Virginia,T,ACS
Washington,T,ACS
West Virginia,T,ACS
Wisconsin,T,ACS
Wyoming,T,ACS
"United States, n.s",T,CPS
Abroad (unknown) or at sea,F,ACS
Afghanistan,F,"ACS,CPS"
AFRICA,F,ACS
"Africa, n.s./n.e.c",F,CPS
Albania,F,"ACS,CPS"
Algeria,F,CPS
American Samoa,F,"ACS,CPS"
"Americas, n.s.",F,"ACS,CPS"
Andorra,F,ACS
"Antarctica, ns/nec",F,ACS
Antigua and Barbuda,F,CPS
Argentina,F,CPS
Armenia,F,CPS
"Asia Minor, ns",F,ACS
"Asia, n.e.c./n.s",F,CPS
"Asia, nec/ns",F,ACS
Atlantic Islands,F,ACS
Australia,F,CPS
Australia and New Zealand,F,ACS
Austria,F,"ACS,CPS"
Azerbaijan,F,CPS
Azores,F,CPS
Bahamas,F,CPS
Bahrain,F,ACS
"Baltic States, ns",F,ACS
Belgium,F,"ACS,CPS"
Brunei,F,ACS
Bulgaria,F,"ACS,CPS"
Cambodia (Kampuchea),F,ACS
Canada,F,"ACS,CPS"
Central America,F,ACS
"Central Europe, ns",F,ACS
China,F,"ACS,CPS"
Cuba,F,"ACS,CPS"
Cyprus,F,"ACS,CPS"
Denmark,F,"ACS,CPS"
"East Asia, ns",F,ACS
"Eastern Europe, ns",F,ACS
England,F,"ACS,CPS"
Estonia,F,"ACS,CPS"
"Europe, ns",F,ACS
Finland,F,"ACS,CPS"
France,F,"ACS,CPS"
Germany,F,"ACS,CPS"
Gibraltar,F,ACS
Greece,F,"ACS,CPS"
Hungary,F,"ACS,CPS"
Iceland,F,"ACS,CPS"
India,F,"ACS,CPS"
Indonesia,F,"ACS,CPS"
Iran,F,"ACS,CPS"
Iraq,F,"ACS,CPS"
Iraq/Saudi Arabia,F,ACS
Ireland,F,"ACS,CPS"
Israel/Palestine,F,ACS
Italy,F,"ACS,CPS"
Japan,F,"ACS,CPS"
Jordan,F,"ACS,CPS"
Korea,F,"ACS,CPS"
Kuwait,F,"ACS,CPS"
Laos,F,ACS
"Lapland, n.s.",F,ACS
Latvia,F,"ACS,CPS"
Lebanon,F,"ACS,CPS"
Liechtenstein,F,ACS
Lithuania,F,"ACS,CPS"
Luxembourg,F,ACS
Malaysia,F,"ACS,CPS"
Maldives,F,ACS
Malta,F,ACS
Mexico,F,"ACS,CPS"
"Middle East, ns",F,ACS
Missing/blank,F,ACS
Monaco,F,ACS
Nepal,F,"ACS,CPS"
Netherlands,F,"ACS,CPS"
"North America, ns",F,ACS
"Northern Europe, ns",F,ACS
Norway,F,ACS
Oman,F,ACS
Other n.e.c.,F,ACS
Other US Possessions,F,ACS
Other USSR/Russia,F,"ACS,CPS"
Pacific Islands,F,"ACS,CPS"
"Persian Gulf States, n.s.",F,ACS
Philippines,F,"ACS,CPS"
Poland,F,"ACS,CPS"
Portugal,F,"ACS,CPS"
Qatar,F,ACS
Romania,F,"ACS,CPS"
San Marino,F,ACS
Saudi Arabia,F,"ACS,CPS"
Scotland,F,"ACS,CPS"
Singapore,F,"ACS,CPS"
SOUTH AMERICA,F,ACS
"South Asia, nec",F,ACS
"Southeast Asia, ns",F,ACS
"Southern Europe, ns",F,ACS
"Southwest Asia, nec/ns",F,ACS
Spain,F,"ACS,CPS"
St. Pierre and Miquelon,F,ACS
Sweden,F,"ACS,CPS"
Switzerland,F,"ACS,CPS"
