EDUCD,EDUC_SIMPLIFIED,EDUC_HAS_DEGREE,Source
"1 or more years of college credit, no degree",Some College or Associates,FALSE,ACS
1 year of college,Some College or Associates,FALSE,CPS
"12th grade, diploma unclear",No High School,FALSE,CPS
"12th grade, no diploma",No High School,FALSE,"ACS,CPS"
2 years of college,Some College or Associates,FALSE,CPS
3 years of college,Some College or Associates,FALSE,CPS
4 years of college,Some College or Associates,FALSE,CPS
5 years of college,Some College or Associates,FALSE,CPS
5+ years of college,Some College or Associates,FALSE,CPS
6+ years of college,Some College or Associates,FALSE,CPS
"Associate's degree, academic program",Some College or Associates,FALSE,CPS
"Associate's degree, occupational/vocational program",Some College or Associates,FALSE,CPS
"Associate's degree, type not specified",Some College or Associates,FALSE,ACS
Bachelor's degree,Bachelors,TRUE,"ACS,CPS"
Doctoral degree,Postgraduate,TRUE,ACS
Doctorate degree,Postgraduate,TRUE,CPS
GED or alternative credential,High School,FALSE,ACS
Grade 1,No High School,FALSE,"ACS,CPS"
Grade 10,No High School,FALSE,"ACS,CPS"
Grade 11,No High School,FALSE,"ACS,CPS"
Grade 12,No High School,FALSE,CPS
Grade 2,No High School,FALSE,"ACS,CPS"
Grade 3,No High School,FALSE,"ACS,CPS"
Grade 4,No High School,FALSE,"ACS,CPS"
Grade 5,No High School,FALSE,"ACS,CPS"
Grade 6,No High School,FALSE,"ACS,CPS"
Grade 7,No High School,FALSE,"ACS,CPS"
Grade 8,No High School,FALSE,"ACS,CPS"
Grade 9,No High School,FALSE,"ACS,CPS"
"Grades 1, 2, 3, or 4",No High School,FALSE,CPS
Grades 5 or 6,No High School,FALSE,CPS
Grades 7 or 8,No High School,FALSE,CPS
High school diploma or equivalent,High School,FALSE,CPS
Kindergarten,No High School,FALSE,ACS
Master's degree,Postgraduate,TRUE,"ACS,CPS"
Missing/Unknown,No High School,FALSE,CPS
N/A,No High School,FALSE,ACS
NIU or blank,No High School,FALSE,CPS
NIU or no schooling,No High School,FALSE,CPS
No schooling completed,No High School,FALSE,ACS
None or preschool,No High School,FALSE,CPS
"Nursery school, preschool",No High School,FALSE,ACS
Professional degree beyond a bachelor's degree,Postgraduate,TRUE,ACS
Professional school degree,Postgraduate,TRUE,CPS
Regular high school diploma,High School,FALSE,ACS
Some college but no degree,Some College or Associates,FALSE,CPS
"Some college, but less than 1 year",Some College or Associates,FALSE,ACS
