"PUMA_CODE","STATE_NAME","STATE_ABBR","STATE_FIPS","PUMA_NAME","METRO_STATUS","POP10","POP17","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","DENSITY","URBAN_STATUS"
"0100100","Alabama","AL","01","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA","Metropolitan status indeterminable (mixed)",186695,185534,2085.318,96.374,34.649881,-87.764577,89.5283117490953,"Rural"
"0100200","Alabama","AL","01","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",171821,188657,1034.85,54.655,34.811886,-86.803207,166.034691018022,"Rural"
"0100301","Alabama","AL","01","Huntsville (North) & Madison (East) Cities PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",118924,124664,91.175,0.35,34.758591,-86.692473,1304.34877981903,"Rural"
"0100302","Alabama","AL","01","Huntsville City (Central & South) PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",101522,102793,62.25,0.485,34.687967,-86.563982,1630.87550200803,"Rural"
"0100400","Alabama","AL","01","DeKalb & Jackson Counties PUMA","Not in metropolitan area",124336,123536,1854.961,50.495,34.644494,-85.906204,67.028902494446,"Rural"
"0100500","Alabama","AL","01","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA","Metropolitan status indeterminable (mixed)",118345,123564,739.095,60.208,34.421382,-86.356354,160.121499942497,"Rural"
"0100600","Alabama","AL","01","Morgan & Lawrence Counties--Decatur City PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",153829,152341,1270.015,46.237,34.489361,-87.097147,121.123766254729,"Rural"
"0100700","Alabama","AL","01","Cullman & Winston Counties PUMA","Not in metropolitan area",104890,105800,1347.819,39.07,34.149044,-87.098188,77.8220220964388,"Rural"
"0100800","Alabama","AL","01","St. Clair & Blount Counties PUMA","In metropolitan area: Not in central/principal city",140915,144512,1276.678,27.59,33.836126,-86.432345,110.37630475343,"Suburban"
"0100900","Alabama","AL","01","Etowah County PUMA","In metropolitan area: Central/principal city status indeterminable (mixed)",104430,103176,534.991,13.638,34.047638,-86.03442,195.199545412913,"Rural"
"0101000","Alabama","AL","01","Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA","Not in metropolitan area",160097,157461,3035.086,76.347,33.544679,-85.742364,52.7487524241488,"Rural"
