RACE,RACE_SIMPLIFIED,Source
American Indian or Alaska Native,American Indian or Alaska Native,ACS
Chinese,Asian,ACS
Other Asian or Pacific Islander,Asian,ACS
Three or more major races,Multiracial,ACS
White,White,ACS
Black/African American/Negro,Black,ACS
Japanese,Asian,ACS
"Other race, nec",Other,ACS
Two major races,Multiracial,ACS
Black/Negro,Black,CPS
American Indian/Aleut/Eskimo,American Indian or Alaska Native,CPS
Asian or Pacific Islander,Asian,CPS
Asian only,Asian,CPS
Hawaiian/Pacific Islander only,Asian,CPS
"Other (single) race, n.e.c",Other,CPS
White-Black,Multiracial,CPS
White-American Indian,Multiracial,CPS
White-Asian,Multiracial,CPS
White-Hawaiian/Pacific Islander,Multiracial,CPS
Black-American Indian,Multiracial,CPS
Black-Asian,Multiracial,CPS
Black-Hawaiian/Pacific Islander,Multiracial,CPS
American Indian-Asian,Multiracial,CPS
Asian-Hawaiian/Pacific Islander,Multiracial,CPS
White-Black-American Indian,Multiracial,CPS
White-Black-Asian,Multiracial,CPS
White-American Indian-Asian,Multiracial,CPS
White-Asian-Hawaiian/Pacific Islander,Multiracial,CPS
White-Black-American Indian-Asian,Multiracial,CPS
American Indian-Hawaiian/Pacific Islander,Multiracial,CPS
White-Black--Hawaiian/Pacific Islander,Multiracial,CPS
White-American Indian-Hawaiian/Pacific Islander,Multiracial,CPS
Black-American Indian-Asian,Multiracial,CPS
White-American Indian-Asian-Hawaiian/Pacific Islander,Multiracial,CPS
"Two or three races, unspecified",Multiracial,CPS
"Four or five races, unspecified",Multiracial,CPS
Blank,Other,CPS
